Student_ID,Hours_Studied,Attendance,Previous_GPA,Sleep_Hours,Coding_Experience,Course_Type,Projects_Completed,Exam_Score,Expected_Score,Performance_Gap,Pass_Status,Performance_Level,Sleep_Group,Attendance_Group,Project_Group
100,11.6,57.9,3.12,8.1,Beginner,AI/ML,3,90.3,84.9,5.4,Pass,High Performer,8+,Below 70%,0-3
101,11.0,70.4,2.92,6.6,Beginner,Data Science,4,87.4,87.3,0.1,Pass,High Performer,6 to <7,70-79%,4-7
102,8.7,79.1,3.22,7.4,Beginner,AI/ML,14,90.0,86.7,3.3,Pass,High Performer,7 to <8,70-79%,12-14
103,3.9,71.3,3.03,6.0,Beginner,AI/ML,12,56.8,63.8,-7.0,Fail,Needs Support,6 to <7,70-79%,12-14
104,11.7,89.1,3.06,6.7,Beginner,Web Dev,7,100.0,96.7,3.3,Pass,High Performer,6 to <7,80-89%,4-7
105,9.6,100.0,2.8,5.0,Beginner,Web Dev,5,78.8,83.7,-4.9,Pass,Satisfactory,Below 6,90%+,4-7
106,8.9,70.2,2.3,4.2,Intermediate,AI/ML,6,83.2,70.0,13.2,Pass,High Performer,Below 6,70-79%,4-7
107,5.9,73.6,2.23,7.8,Advanced,Cloud,5,68.4,70.0,-1.6,Pass,Satisfactory,7 to <8,70-79%,4-7
108,4.0,84.4,3.33,5.7,Advanced,Data Science,8,78.7,71.8,6.9,Pass,Satisfactory,Below 6,80-89%,8-11
109,2.1,98.1,2.86,6.3,Intermediate,Data Science,7,69.2,63.0,6.2,Pass,Satisfactory,6 to <7,90%+,4-7
110,10.9,69.8,2.7,5.3,Intermediate,AI/ML,9,97.0,87.2,9.8,Pass,High Performer,Below 6,Below 70%,8-11
111,6.0,84.5,3.0,5.2,Beginner,AI/ML,2,57.9,65.0,-7.1,Fail,Needs Support,Below 6,80-89%,0-3
112,3.2,100.0,3.4,6.6,Intermediate,Web Dev,6,79.7,70.6,9.1,Pass,Satisfactory,6 to <7,90%+,4-7
113,4.4,65.5,3.09,6.0,Intermediate,Cloud,3,78.7,63.0,15.7,Pass,Satisfactory,6 to <7,Below 70%,0-3
114,7.4,69.2,2.67,7.2,Advanced,Web Dev,7,78.0,80.2,-2.2,Pass,Satisfactory,7 to <8,Below 70%,4-7
115,2.9,77.8,3.61,7.3,Advanced,Data Science,4,67.4,67.1,0.3,Pass,Satisfactory,7 to <8,70-79%,4-7
116,10.4,76.8,3.79,7.2,Beginner,Data Science,7,88.4,92.8,-4.4,Pass,High Performer,7 to <8,70-79%,4-7
117,9.3,90.1,3.25,7.1,Intermediate,Data Science,8,89.1,92.0,-2.9,Pass,High Performer,7 to <8,90%+,8-11
118,8.9,84.4,3.49,8.5,Intermediate,Cloud,5,100.0,85.7,14.3,Pass,High Performer,8+,80-89%,4-7
119,5.8,64.3,3.62,5.6,Beginner,AI/ML,9,61.1,69.7,-8.6,Pass,Satisfactory,Below 6,Below 70%,8-11
120,7.9,87.2,3.57,6.7,Advanced,Cloud,6,80.4,88.4,-8.0,Pass,High Performer,6 to <7,80-89%,4-7
121,7.4,76.2,3.31,8.0,Beginner,Data Science,3,88.8,75.1,13.7,Pass,High Performer,8+,70-79%,0-3
122,8.1,94.7,3.3,8.2,Advanced,Cloud,8,94.3,89.0,5.3,Pass,High Performer,8+,90%+,8-11
123,1.9,75.7,3.26,5.2,Intermediate,Data Science,4,73.0,54.9,18.1,Pass,Satisfactory,Below 6,70-79%,4-7
124,5.6,75.6,2.45,6.5,Beginner,Cloud,0,58.3,62.1,-3.8,Fail,Needs Support,6 to <7,70-79%,0-3
125,1.5,87.4,3.35,8.3,Intermediate,Cloud,6,59.8,58.7,1.1,Fail,Needs Support,8+,80-89%,4-7
126,6.4,89.6,2.32,7.4,Beginner,AI/ML,6,64.5,70.1,-5.6,Pass,Satisfactory,7 to <8,80-89%,4-7
127,4.6,86.5,2.6,7.0,Intermediate,Cloud,7,70.2,69.0,1.2,Pass,Satisfactory,7 to <8,80-89%,4-7
128,2.6,65.1,3.65,6.6,Intermediate,Data Science,6,47.4,62.4,-15.0,Fail,Needs Support,6 to <7,Below 70%,4-7
129,2.1,87.4,3.42,6.4,Intermediate,AI/ML,10,70.3,64.5,5.8,Pass,Satisfactory,6 to <7,80-89%,8-11
130,7.5,71.7,3.74,7.1,Advanced,Cloud,7,88.4,85.6,2.8,Pass,High Performer,7 to <8,70-79%,4-7
131,2.9,84.4,2.86,6.5,Beginner,AI/ML,8,59.4,59.8,-0.4,Fail,Needs Support,6 to <7,80-89%,8-11
132,11.2,67.8,2.42,6.8,Beginner,Data Science,5,82.4,85.7,-3.3,Pass,High Performer,6 to <7,Below 70%,4-7
133,7.4,86.5,2.88,6.9,Beginner,Web Dev,3,68.9,76.5,-7.6,Pass,Satisfactory,6 to <7,80-89%,0-3
134,4.8,73.9,3.05,6.1,Beginner,Web Dev,5,71.6,65.5,6.1,Pass,Satisfactory,6 to <7,70-79%,4-7
135,7.5,69.2,3.04,7.4,Beginner,Cloud,8,66.5,76.5,-10.0,Pass,Satisfactory,7 to <8,Below 70%,8-11
136,1.3,89.1,3.57,9.0,Beginner,AI/ML,5,56.4,52.1,4.3,Fail,Needs Support,8+,80-89%,4-7
137,11.5,84.4,2.82,4.8,Beginner,AI/ML,4,100.0,84.4,15.6,Pass,High Performer,Below 6,80-89%,4-7
138,6.3,75.9,3.18,7.2,Beginner,Web Dev,4,85.1,72.5,12.6,Pass,High Performer,7 to <8,70-79%,4-7
139,9.6,96.5,2.51,6.0,Advanced,AI/ML,2,73.7,86.5,-12.8,Pass,Satisfactory,6 to <7,90%+,0-3
140,1.9,77.6,3.23,7.4,Beginner,Cloud,5,51.3,55.8,-4.5,Fail,Needs Support,7 to <8,70-79%,4-7
141,6.4,82.3,3.0,6.9,Advanced,Cloud,7,83.2,79.6,3.6,Pass,High Performer,6 to <7,80-89%,4-7
142,6.4,84.7,2.63,7.6,Beginner,Web Dev,3,70.0,70.6,-0.6,Pass,Satisfactory,7 to <8,80-89%,0-3
143,11.3,75.8,2.88,8.1,Beginner,Data Science,4,76.1,88.0,-11.9,Pass,Satisfactory,8+,70-79%,4-7
144,7.3,86.7,2.91,7.0,Intermediate,AI/ML,6,82.5,79.2,3.3,Pass,High Performer,7 to <8,80-89%,4-7
145,6.2,76.7,2.86,8.0,Beginner,Data Science,5,69.5,69.6,-0.1,Pass,Satisfactory,8+,70-79%,4-7
146,3.9,77.9,3.89,4.2,Beginner,AI/ML,5,73.4,57.1,16.3,Pass,Satisfactory,Below 6,70-79%,4-7
147,4.6,95.6,2.95,8.5,Intermediate,AI/ML,8,67.4,69.6,-2.2,Pass,Satisfactory,8+,90%+,8-11
148,6.7,71.6,2.88,7.2,Beginner,AI/ML,7,81.5,71.5,10.0,Pass,High Performer,7 to <8,70-79%,4-7
149,5.8,57.9,2.0,8.0,Beginner,Data Science,8,51.2,62.0,-10.8,Fail,Needs Support,8+,Below 70%,8-11
150,1.2,98.1,2.55,5.5,Intermediate,AI/ML,8,46.3,55.1,-8.8,Fail,Needs Support,Below 6,90%+,8-11
151,10.1,100.0,2.87,5.9,Beginner,AI/ML,9,95.9,89.8,6.1,Pass,High Performer,Below 6,90%+,8-11
152,10.9,77.9,2.66,7.0,Intermediate,Cloud,8,100.0,92.3,7.7,Pass,High Performer,7 to <8,70-79%,8-11
153,2.5,62.6,3.69,6.8,Beginner,Data Science,4,49.5,57.6,-8.1,Fail,Needs Support,6 to <7,Below 70%,4-7
154,7.1,78.9,2.92,7.1,Advanced,AI/ML,8,81.0,80.8,0.2,Pass,High Performer,7 to <8,70-79%,8-11
155,2.2,79.1,3.64,8.0,Intermediate,Cloud,2,47.7,59.5,-11.8,Fail,Needs Support,8+,70-79%,0-3
156,8.4,80.1,3.03,4.9,Advanced,Cloud,7,80.3,81.9,-1.6,Pass,High Performer,Below 6,80-89%,4-7
157,4.1,70.9,3.02,7.9,Advanced,Web Dev,7,76.0,68.9,7.1,Pass,Satisfactory,7 to <8,70-79%,4-7
158,8.3,87.8,2.96,6.8,Beginner,Data Science,11,81.5,85.2,-3.7,Pass,High Performer,6 to <7,80-89%,8-11
159,9.0,87.2,3.0,6.6,Intermediate,AI/ML,12,87.9,90.0,-2.1,Pass,High Performer,6 to <7,80-89%,12-14
160,9.5,67.1,3.86,5.2,Beginner,Data Science,3,72.0,81.6,-9.6,Pass,Satisfactory,Below 6,Below 70%,0-3
161,2.2,89.0,2.0,7.4,Intermediate,Web Dev,6,51.9,57.4,-5.5,Fail,Needs Support,7 to <8,80-89%,4-7
162,11.1,100.0,2.0,4.1,Intermediate,Data Science,3,96.3,81.4,14.9,Pass,High Performer,Below 6,90%+,0-3
163,3.5,83.7,2.73,7.5,Beginner,Web Dev,7,63.3,62.7,0.6,Pass,Satisfactory,7 to <8,80-89%,4-7
164,1.4,78.6,3.01,5.2,Advanced,AI/ML,2,43.5,52.0,-8.5,Fail,Needs Support,Below 6,70-79%,0-3
165,7.1,80.6,3.35,6.9,Beginner,Cloud,7,75.6,78.3,-2.7,Pass,Satisfactory,6 to <7,80-89%,4-7
166,5.1,88.2,3.24,6.7,Intermediate,AI/ML,3,57.3,70.8,-13.5,Fail,Needs Support,6 to <7,80-89%,0-3
167,10.1,64.7,2.81,8.1,Intermediate,Cloud,12,80.1,88.7,-8.6,Pass,High Performer,8+,Below 70%,12-14
168,9.9,83.6,3.51,6.6,Beginner,Cloud,5,100.0,88.8,11.2,Pass,High Performer,6 to <7,80-89%,4-7
169,4.5,78.1,3.52,6.0,Intermediate,Cloud,6,68.8,70.0,-1.2,Pass,Satisfactory,6 to <7,70-79%,4-7
170,11.5,100.0,3.09,6.2,Intermediate,Web Dev,3,100.0,98.0,2.0,Pass,High Performer,6 to <7,90%+,0-3
171,4.2,80.3,3.48,8.2,Beginner,Cloud,6,64.7,65.6,-0.9,Pass,Satisfactory,8+,80-89%,4-7
172,6.7,98.7,3.14,7.4,Intermediate,Web Dev,4,80.7,81.0,-0.3,Pass,High Performer,7 to <8,90%+,4-7
173,3.8,71.0,2.72,6.4,Beginner,AI/ML,5,63.4,57.9,5.5,Pass,Satisfactory,6 to <7,70-79%,4-7
174,11.3,87.9,3.35,6.5,Intermediate,Cloud,3,73.0,95.7,-22.7,Pass,Satisfactory,6 to <7,80-89%,0-3
175,2.8,85.2,3.06,5.1,Beginner,Data Science,5,58.1,56.3,1.8,Fail,Needs Support,Below 6,80-89%,4-7
176,1.5,73.3,3.0,7.2,Advanced,Data Science,6,58.7,59.1,-0.4,Fail,Needs Support,7 to <8,70-79%,4-7
177,5.8,83.8,3.74,4.9,Advanced,AI/ML,9,89.3,76.7,12.6,Pass,High Performer,Below 6,80-89%,8-11
178,11.9,94.1,2.0,7.6,Beginner,Cloud,3,97.2,89.0,8.2,Pass,High Performer,7 to <8,90%+,0-3
179,10.8,78.8,2.29,6.9,Beginner,Data Science,6,76.7,86.3,-9.6,Pass,Satisfactory,6 to <7,70-79%,4-7
180,9.2,65.1,2.41,9.0,Intermediate,AI/ML,6,85.7,75.2,10.5,Pass,High Performer,8+,Below 70%,4-7
181,10.8,81.8,2.82,5.6,Intermediate,Cloud,12,91.6,93.8,-2.2,Pass,High Performer,Below 6,80-89%,12-14
182,10.8,73.0,2.87,6.7,Beginner,Web Dev,4,79.6,87.3,-7.7,Pass,Satisfactory,6 to <7,70-79%,4-7
183,6.7,78.6,2.25,8.8,Beginner,Web Dev,6,68.9,67.3,1.6,Pass,Satisfactory,8+,70-79%,4-7
184,4.5,81.2,2.51,8.1,Beginner,Data Science,4,59.6,61.3,-1.7,Fail,Needs Support,8+,80-89%,4-7
185,9.5,64.9,2.57,6.0,Advanced,Cloud,10,99.7,86.6,13.1,Pass,High Performer,6 to <7,Below 70%,8-11
186,8.3,65.8,4.0,7.0,Intermediate,Web Dev,1,86.4,83.5,2.9,Pass,High Performer,7 to <8,Below 70%,0-3
187,5.1,86.8,3.9,6.8,Advanced,Web Dev,8,83.6,81.8,1.8,Pass,High Performer,6 to <7,80-89%,8-11
188,2.0,76.8,2.79,7.1,Intermediate,Web Dev,9,68.2,60.5,7.7,Pass,Satisfactory,7 to <8,70-79%,8-11
189,9.2,56.4,2.82,6.0,Advanced,Cloud,5,91.2,81.9,9.3,Pass,High Performer,6 to <7,Below 70%,4-7
190,3.9,89.8,2.43,6.7,Beginner,Web Dev,4,68.7,62.0,6.7,Pass,Satisfactory,6 to <7,80-89%,4-7
191,11.3,84.7,2.05,5.0,Beginner,AI/ML,1,90.8,78.7,12.1,Pass,High Performer,Below 6,80-89%,0-3
192,3.7,74.9,2.94,6.9,Advanced,Cloud,5,71.5,66.3,5.2,Pass,Satisfactory,6 to <7,70-79%,4-7
193,2.4,68.8,2.5,7.3,Advanced,Web Dev,8,62.2,60.8,1.4,Pass,Satisfactory,7 to <8,Below 70%,8-11
194,10.1,90.4,2.96,6.5,Beginner,Data Science,7,100.0,89.7,10.3,Pass,High Performer,6 to <7,90%+,4-7
195,2.7,85.5,2.2,5.0,Beginner,AI/ML,7,50.1,50.9,-0.8,Fail,Needs Support,Below 6,80-89%,4-7
196,3.0,100.0,2.62,7.9,Intermediate,Cloud,4,63.0,62.7,0.3,Pass,Satisfactory,7 to <8,90%+,4-7
197,7.6,86.2,3.07,7.2,Beginner,AI/ML,5,92.1,77.4,14.7,Pass,High Performer,7 to <8,80-89%,4-7
198,10.6,85.9,3.18,6.0,Beginner,AI/ML,7,100.0,89.5,10.5,Pass,High Performer,6 to <7,80-89%,4-7
199,3.2,80.3,3.21,6.5,Advanced,Web Dev,8,69.5,69.5,0.0,Pass,Satisfactory,6 to <7,80-89%,8-11
200,4.4,90.2,2.34,5.1,Beginner,Data Science,5,55.8,59.6,-3.8,Fail,Needs Support,Below 6,90%+,4-7
201,9.6,88.3,3.43,5.7,Intermediate,Cloud,7,100.0,90.7,9.3,Pass,High Performer,Below 6,80-89%,4-7
202,11.7,94.5,2.6,6.2,Beginner,Web Dev,3,99.0,92.1,6.9,Pass,High Performer,6 to <7,90%+,0-3
203,6.5,76.8,3.32,8.2,Beginner,AI/ML,3,72.5,69.9,2.6,Pass,Satisfactory,8+,70-79%,0-3
